"Sektor","Industri","Model","Beskrivelse","installer","state","bug","spesificity","usage","scope","applications","nationality","recommeded","documentation","language"
"Energy System Assessment¶","Modeling¶","openTEPES","openTEPES - Determines the investment plans of new facilities (generators, ESS and lines) for supplying the forecasted demand at minimum cost.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","PowerGenome","PowerGenome - A tool to quickly and easily create inputs for power systems models.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","load_forecasting","load_forecasting - Load forcasting on Delhi area electric power load using ARIMA, RNN, LSTM and GRU models.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","REopt_Lite_API","REopt_Lite_API - Offers a subset of features from NREL's more comprehensive REopt model. Both models provide concurrent, multiple technology integration and optimization capabilities to help organizations meet their cost savings and energy performance goals.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","pandapower","pandapower - An easy to use open source tool for power system modeling, analysis and optimization with a high degree of automation.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","urbs","urbs - A linear optimization model for distributed energy systems.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Dispa","Dispa-SET - Allows to model a power system at any level of detail e.g. micro-grid, region, country, continent.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Calliope","Calliope - A framework to develop energy system models, with a focus on flexibility, high spatial and temporal resolution, the ability to execute many runs based on the same base model, and a clear separation of framework and model.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Euro","Euro-Calliope - A model of the European electricity system built using Calliope.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","OSeMOSYS","OSeMOSYS - An open source modeling system for long-run integrated assessment and energy planning. It has been employed to develop energy systems models from the scale of continents (African Power Pools, South America, EU28+2) down to the scale of countries, regions and village.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","REVUB","REVUB - The main objective is to model how flexible operation of hydropower plants can help renewable electricity mixes with variable solar and wind power to provide reliable electricity supply and load-following services.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","FINE","FINE - Provides a framework for modeling, optimizing and assessing energy systems.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","CoMPAS","CoMPAS - Was formed to develop open source software components related to IEC 61850 model implementation (profile management) and configuration of a power industry Protection Automation and Control System.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","PowerSimulations.jl","PowerSimulations.jl - Is a Julia package for power system modeling and simulation of Power Systems operations.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","PowerSystems.jl","PowerSystems.jl - Provides a rigorous data model using Julia structures to enable power systems analysis and modeling.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Balmorel","Balmorel - A partial equilibrium model for analyzing the electricity and combined heat and power sectors in an international perspective.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","DistAIX","DistAIX - A simulator for cyber-physical power systems that makes use of high performance computing techniques to scale up the simulation.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","The Open Energy Ontology","The Open Energy Ontology - A domain ontology of the energy-system modeling context.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","nempy","nempy - Aims to enhance the Australian electricity industries modeling and analytical capabilities.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","NEMO","NEMO - The National Electricity Market Optimizer is a chronological dispatch model for testing and optimizing different portfolios of conventional and renewable electricity generation technologies.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","GlobalEnergyGIS","GlobalEnergyGIS - Generates input data for energy models on renewable energy in arbitrary world regions using public datasets.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","IDEAS","IDEAS - Modelica library allowing simultaneous transient simulation of thermal and electrical systems at both building and feeder level.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Antares Simulator","Antares Simulator - Is an Open Source power system simulator to quantify the adequacy or the economic performance of interconnected energy systems, at short or remote time horizons.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Hierarchical Engine for Large","Hierarchical Engine for Large-scale Infrastructure Co-Simulation - Today the core uses are in the energy domain, where there is extensive and growing support for a wide-range of electric power system, natural gas, communications and control-schemes, transportation, buildings, and related domain tools.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","oemof","oemof-solph - A model generator for energy system modeling and optimization.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","oemof","oemof-thermal - Provides tools to model thermal energy components as an extension of oemof.solph, e.g. compression heat pumps, concentrating solar plants, thermal storage and solar thermal collectors.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","dpsim","dpsim - A real-time power system simulator that operates in the dynamic phasor as well as electromagnetic transient domain.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","VILLASnode","VILLASnode - Connecting real-time power grid simulation equipment.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","openENTRANCE","openENTRANCE - The Horizon 2020 openENTRANCE project aims at developing, using and disseminating an open, transparent and integrated modeling platform for assessing low-carbon transition pathways in Europe.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Joulia.jl","Joulia.jl - A Large-Scale Spatial Power System Model for Julia.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","The IDAES Toolkit","The IDAES Toolkit - Aims to provide multi-scale, simulation-based, open source computational tools and models to support the design, analysis, optimization, scale-up, operation and troubleshooting of innovative, advanced energy systems.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Temoa","Temoa - Tools for Energy Model Optimization and Analysis (Temoa) is an open source modeling framework for conducting energy system analysis.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","PowerSystemDataModel","PowerSystemDataModel - Provides an extensive data model capable of modeling energy systems with high granularity e.g. for bottom-up simulations.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","PyPSA","PyPSA-Eur-Sec - A Sector-Coupled Open Optimisation Model of the European Energy System.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","antaresViz","antaresViz - Visualize the results of Antares, an Open Source power system simulator meant to be used by anybody placing value in quantifying the adequacy or the economic performance of interconnected energy systems , at short or remote time horizons.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","antaresRead","antaresRead - Import, manipulate and explore the results of an Antares simulation.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","Spine","Spine-Toolbox - An application to define, manage, and execute various energy system simulation models.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","demandlib","demandlib - With the demandlib you can create power and heat profiles for various sectors by scaling them to your desired demand.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","dieter_py","dieter_py - A open source power sector optimization model that has been developed to investigate the role of electricity storage and sector coupling options in future scenarios with high shares of renewable energy sources.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","OMEGAlpes","OMEGAlpes - Aims to be an energy systems modeling tool for linear optimization (LP, MILP).","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","deflex","deflex - Flexible multi-regional energy system model for heat, power and mobility.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","energy","energy-py-linear - Optimizing energy systems using mixed integer linear programming.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","switch","switch-model - Optimal planning model for power systems with large shares of renewable energy.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","AnyMOD.jl","AnyMOD.jl - Creating large scale energy system models with multiple periods of capacity expansion formulated as linear optimization problems.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","FlexiGIS","FlexiGIS - Extracts, filters and categorizes the geo-referenced urban energy infrastructure and allocates the required decentralized storage in urban settings.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","EMMA","EMMA - A techno-economic model of the north-west European power market covering France, Benelux, Germany and Poland.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","reVX","reVX - Renewable Energy Potential(V) eXchange Toot.","","","","","","","","","","",""
"Energy System Assessment¶","Modeling¶","CapacityExpansion.jl","CapacityExpansion.jl - Future energy system planning (Generation and Transmission Capacity Expansion Planning) in Julia.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","stplanr","stplanr - A package for sustainable transport planning with R.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","CO2MPAS","CO2MPAS-TA - CO2MPAS is backward-looking longitudinal-dynamics CO2 and fuel-consumption simulator for light-duty vehicles.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","wltp","wltp - Generate WLTC gear-shifts based on vehicle characteristics.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","The Open Charge Point Protocol","The Open Charge Point Protocol - A network protocol for communication between electric vehicle chargers and a central backoffice system.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","ocpp","ocpp - Python implementation of the Open Charge Point Protocol.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","docile","docile-charge-point - Scriptable OCPP charge point simulator and test tool.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","MaaS Global","MaaS Global - Mobility as a Service API - data model, tests and validation.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","CoopCycle","CoopCycle - A self-hosted platform to order meals in your neighborhood and get them delivered by bike couriers.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","EVNotify","EVNotify - Allows you to monitor your electric vehicle and let you notify when the specified preset state of charge has been achieved.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","icare","icare - An open source carpooling platform used as a basis for our commercial product Company Carpool.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Carpoolear","Carpoolear - Is the first Argentine Facebook app that allow the users of this social network share car trips with other users.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","UTD19","UTD19 - Largest multi-city traffic dataset publicly available.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OpenEVSE","OpenEVSE - Firmware for OpenEVSE: Open Source Hardware J1772 Electric Vehicle Supply Equipment.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OpenEVSE WiFi gateway","OpenEVSE WiFi gateway - Uses an ESP8266 (ESP-12) which communicates with the OpenEVSE controller via serial utilizing the existing RAPI API serial interface.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","navitia","navitia - An open source web API, initially built to provide traveler information on urban transportation networks.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","DeepMove","DeepMove - Predicting Human Mobility with Attentional Recurrent Networks.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","mobility","mobility-data-specification - A data standard to enable communication between mobility companies and local governments.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","sumo","sumo - SUMO is an open source, highly portable, microscopic and continuous traffic simulation package designed to handle large networks. It allows for intermodal simulation including pedestrians and comes with a large set of tools for scenario creation.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OpenConcept","OpenConcept - A toolkit for conceptual MDAO of aircraft with unconventional propulsion architectures.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Open Charge Map","Open Charge Map - The global public registry of electric vehicle charging locations.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","EVCC","EVCC - An extensible EV Charge Controller with PV integration implemented in Go.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","SteVe","SteVe - Provides basic functions for the administration of charge points, user data and RFID cards for user authentication and was tested successfully in operation.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","RISE","RISE-V2G - The only fully-featured reference implementation of the Vehicle-2-Grid communication interface ISO 15118.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","simobility","simobility - A human-friendly Python framework that helps scientists and engineers to prototype and compare fleet optimization algorithms (autonomous and human-driven vehicles).","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","MobiVoc","MobiVoc - An open vocabulary for future-oriented mobility solutions.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Transportr","Transportr - The public transport companion that respects your privacy and your freedom.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OneBusAway","OneBusAway - The Open Source platform for Real Time Transit Info.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","transitfeed","transitfeed - A Python library for reading, validating and writing transit schedule information in the GTFS format.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","node","node-gtfs - Import GTFS transit data into SQLite and query routes, stops, times, fares and more.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Public Transport Enabler","Public Transport Enabler - Unleash public transport data in your Java project.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","osm2gtfs","osm2gtfs - Turn OpenStreetMap data and schedule information into GTFS.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Quetzal","Quetzal - Quetzal is a modeling library designed for transport planning and traffic forecasts.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","quetzal_germany","quetzal_germany - A four step transport model for Germany using the quetzal transport modeling suite.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","MATSim","MATSim - MATSim provides a toolbox to run and implement large-scale agent-based transport simulations.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OpenMobility","OpenMobility - Driving the Evolution and Broad Adoption of Open Source Mobility Modeling and Simulation Technologies.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","NoiseModelling","NoiseModelling - A free and open source model to compute noise maps.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","NoiseCapture","NoiseCapture - Android App dedicated to the measurement of environmental noise.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","bikedata","bikedata - Aims to enable ready importing of historical trip data from all public bicycle hire systems which provide data. Will be expanded on an ongoing basis as more systems publish open data.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","CyclOSM","CyclOSM - A CartoCSS map style designed with cycling in mind.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Gym Electric Motor","Gym Electric Motor - An OpenAI Gym Environment for Electric Motors.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","BEAM","BEAM - The Framework for Modeling Behavior, Energy, Autonomy, and Mobility in Transportation Systems.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","WoBike","WoBike - Public transport and multimodal routing apps could benefit from showing nearby bikes from bikesharing services. So here's a list showing the APIs of a few of these platforms.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","multicycles","multicycles - Aggregates on one map, more than 100 share vehicles like bikes, scooters, mopeds and cars.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","pybikes","pybikes - Provides a set of tools to scrape bike sharing data from different websites and APIs, thus providing a coherent and generalized set of classes and methods to access this sort of information.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","sustainable","sustainable-mobility-api - Consists of a Python library and HTTP API for estimating the environmental impact of personal mobility.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","ChargyDesktopApp","ChargyDesktopApp - Chargy is a transparency software for secure and transparent e-mobility charging processes, as defined by the German ""Eichrecht"".","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","WWCP_OCPP","WWCP_OCPP - Connectivity between the World Wide Charging Protocol (WWCP) and the Open Charge Point Protocol (OCPP v1.6/v2.0).","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","WWCP_Core","WWCP_Core - The World Wide Charging Protocol Suite is a collection of protocols in order to connect market actors in the field of e-mobility solutions via scalable and secure Internet protocols.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","openv2g","openv2g - The objective to start this project is primarily to support the ISO and IEC standardization process to specify the so called ""Vehicle 2 Grid Communication Interface"" (V2G CI) which became the ISO IEC 15118 specification by now.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","OptaPlanner","OptaPlanner - Java Constraint Solver to solve vehicle routing, employee roistering, task assignment, conference scheduling and other planning problems.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","RAMP","RAMP-mobility - A novel application of the RAMP main engine for generating bottom-up stochastic electric vehicles load profiles.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","emobpy","emobpy - A Python tool that can create battery electric vehicle profiles.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","PCT","PCT - The goal is to increase the accessibility and reproducibility of the data produced by the Propensity to Cycle Tool (PCT).","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","goat","goat - A capable of modeling walking and cycling accessibility.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","gtfs","gtfs-router - R package for routing with GTFS (General Transit Feed Specification) data.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","CityFlow","CityFlow - A Multi-Agent Reinforcement Learning Environment for Large Scale City Traffic Scenario.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Complete_Street_Rule","Complete_Street_Rule - A ArcGIS CityEngine scenario oriented design tool intended to enable users to quickly create procedural generated multimodal streets.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","tesla_powerwall","tesla_powerwall - Python Tesla Powerwall API for consuming a local endpoint.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Vehicle Energy Dataset","Vehicle Energy Dataset - A large-scale dataset for vehicle energy consumption research.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","gbfs","gbfs - Documentation for the General Bikeshare Feed Specification, a standardized data feed for shared mobility system availability.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","Bike Index","Bike Index - Bike registration that works: online, powerful, free.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","go","go-ocpp - v1.5 and v1.6 Open Charge Point Protocol implementation in Golang.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","EVMap","EVMap - Android app to access the goingelectric.de electric vehicle charging station directory.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","emobility","emobility-smart-charging - Smart charging algorithms with REST API for electric vehicle fleets.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","open","open-ev-data - Open Dataset of Electric Vehicle specs.","","","","","","","","","","",""
"Energy Consumption and Efficiency¶","Mobility and Transportation¶","SmartEVSE","SmartEVSE - Smart EVSE Electric Vehicle Charging Station.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","ECOSTRESS","ECOSTRESS - The images acquired by ECOSTRESS are the most detailed temperature images of the surface ever acquired from space and can be used to measure the temperature of an individual farmers field and plants.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","carbon budget","carbon budget - This model maps gross greenhouse gas emissions from forests between 2001 and 2015, gross carbon removals by forests between 2001, and the difference between them (net flux).","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","treeseg","treeseg - Has been developed to near-automatically extract tree-level point clouds from high-density larger-area lidar point clouds acquired in forests.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","fgeo","fgeo - Analyze forest diversity and dynamics.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","fgeo.biomass","fgeo.biomass - Calculate biomass with allometric equations from the allodb package and ForestGEO data.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","BIOMASS","BIOMASS - R package for estimating aboveground biomass and its uncertainty in tropical forests.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","forest","forest - Forecast and Observation Research and Evaluation Survey Tool.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","SEPAL","SEPAL - System for Earth Observation Data Access, Processing and Analysis for Land Monitoring.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","Forest Carbon database","Forest Carbon database - Global Forest Carbon Database.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","TreeLS","TreeLS - High performance R functions for forest data processing based on Terrestrial Laser Scanning (but not only) point clouds.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","TreeQSM","TreeQSM - Quantitative Structure Models of Single Trees from Laser Scanner Data.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","DeepLidar","DeepLidar - Geographic Generalization in Airborne RGB Deep Learning Tree Detection.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","wildfire forecasting","wildfire forecasting - The project intends to reproduce the Fire Forecasting capabilities of GEFF using Deep Learning and develop further improvements in accuracy, geography and time scale through inclusion of additional variables or optimization of model architecture and hyperparameters.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","caliver","caliver - CALIbration and VERification of gridded fire danger models.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","Global Forest Watch","Global Forest Watch - An online, global and near real-time forest monitoring tool.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","gfw","gfw-mapbuilder - A library to build custom Forest Atlas web applications.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","taxize","taxize - Allows users to search over many taxonomic data sources for species names (scientific and common) and download up and downstream taxonomic hierarchical information.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","rgbif","rgbif - Interface to the Global Biodiversity Information Facility API.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","Global Biotic Interactions","Global Biotic Interactions - Global Biotic Interactions provides access to existing species interaction datasets.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","lidR","lidR - R package for airborne LiDAR data manipulation and visualization for forestry application.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","Digital Forestry Toolbox","Digital Forestry Toolbox - A collection of digital forestry tools for Matlab/Octave.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","pyfor","pyfor - Tools for analyzing aerial point clouds of forest data.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","DeepForest","DeepForest - Python Package for Tree Crown Detection in Airborne RGB imagery.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","pyMETRIC","pyMETRIC - A set of Python based tools developed for estimating and mapping evapotranspiration for large areas, utilizing the Landsat image archive.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","vegMonitor","vegMonitor - R-based Random Forest Algorithm to classify vegetation cover in Dharamshala Tehsil and conduct vegetation loss detection.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","NeonTreeEvaluation","NeonTreeEvaluation - Benchmark dataset for tree detection for airborne RGB, Hyperspectral and LIDAR imagery.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","PyCrown","PyCrown - Fast raster-based individual tree segmentation for LiDAR data.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","canopyLazR","canopyLazR - An R package that estimates leaf area density and leaf area index from airborne LiDAR point clouds.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","forestlas","forestlas - Code for generating metrics of forest vertical structure from airborne LiDAR data.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","OpenTreeMap","OpenTreeMap - A collaborative platform for crowdsourced tree inventory, ecosystem services calculations, urban forestry analysis and community engagement.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","WildfirePy","WildfirePy - A Python library for Wildfire GIS data analysis.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","DeepTreeAttention","DeepTreeAttention - Hyperspectral Image Classification with Attention Aided CNNs.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","rebird","rebird - A package to interface with the eBird webservices a real-time, online bird checklist program.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","rredlist","rredlist - R client for the IUCN Red List of threatened and endangered species.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","OpenSimRoot","OpenSimRoot - A source code for simulating root architecture, nutrient and water uptake and more.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","PyETo","PyETo - A Python library for calculating reference crop evapotranspiration, sometimes referred to as potential evapotranspiration.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","burnr","burnr - Basic tools to analyze forest fire history data (e.g. FHX) in R.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","forestmangr","forestmangr - R package for forest mensuration and management.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","CART","CART - The Conservation Assessment Ranking Tool is designed for use in the conservation planning process to assess resource concerns, planned practices and site vulnerability.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","forest","forest-prediction - Deep learning for deforestation classification and forecasting in satellite imagery.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","BIRDS","BIRDS - This set of tools has been developed for systematizing biodiversity data review in order to evaluate whether a set of species observation are fit-for-use and help take decisions upon its use on further analysis.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","PlantCV","PlantCV - Plant phenotyping using computer vision.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","FATES","FATES - A cohort model of vegetation competition and co-existence, allowing a representation of the biosphere which accounts for the division of the land surface into successional stages.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","forestatrisk","forestatrisk - Python package to model and forecast the risk of deforestation.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","CRootBox","CRootBox - The focus of CRootBox is the simulation of different types of root architecture, and to provide a generic interface for coupling with arbitrary soil/environmental models, e.g., in order to determine the impact of specific root architectures on function.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","PyroNear","PyroNear - Aims at providing the means to create a wildfire early detection system with state-of-the-art performances at minimal deployment costs.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","auk","auk - eBird Data Extraction and Processing in R.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","spocc","spocc - An R package to query and collect species occurrence data from many sources.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","VIAME","VIAME - A computer vision application designed for do-it-yourself artificial intelligence including object detection, object tracking, image/video annotation, image/video search, image mosaicing, stereo measurement, rapid model generation, and tools for the evaluation of different algorithms.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","ecodata","ecodata - A data package for reporting on Northeast Continental Shelf ecosystem status and trends.","","","","","","","","","","",""
"Biosphere¶","Life Forms and Biodiversity¶","CODED","CODED - An algorithm developed to monitor for low-magnitude forest disturbances using Landsat data.","","","","","","","","","","",""
